2020.09.24;750;7;21200
2020.09.25;927;9;22127
2020.09.26;950;12;23077
2020.09.27;937;6;24014
2020.09.28;702;13;24716
2020.09.29;851;8;25567
2020.09.30;894;8;26461
2020.10.01;848;16;27309
2020.10.02;1322;17;28631
2020.10.03;1086;14;29717
2020.10.04;858;10;30575
2020.10.05;905;11;31480
2020.10.06;818;20;32298
2020.10.07;816;24;33114
2020.10.08;932;21;34046
2020.10.09;1176;15;35222
2020.10.10;1374;20;36596
2020.10.11;1068;21;37664
2020.10.12;913;14;38577
2020.10.13;1285;28;39862
2020.10.14;920;27;40782
2020.10.15;950;29;41732
2020.10.16;1293;33;43025
2020.10.17;1791;24;44816
2020.10.18;1474;33;46290
2020.10.19;1478;31;47768
2020.10.20;989;38;48757
2020.10.21;1423;48;50180
2020.10.22;2032;46;52212
2020.10.23;2066;47;54278
2020.10.24;1820;38;56098
2020.10.25;3149;35;59247
2020.10.26;2316;47;61563
2020.10.27;2079;63;63642
2020.10.28;2291;43;65933
2020.10.29;2194;56;68127
2020.10.30;3286;65;71413
2020.10.31;3908;51;75321
2020.11.01;3878;69;79199
2020.11.02;3581;70;82780
2020.11.03;3989;84;86769
2020.11.04;4219;90;90988
2020.11.05;3928;84;94916
2020.11.06;4709;103;99625
2020.11.07;5318;107;104943
2020.11.08;4673;81;109616
2020.11.09;5162;55;114778
2020.11.10;4140;103;118918
2020.11.11;3945;101;122863
2020.11.12;3927;87;126790
2020.11.13;5097;99;131887
2020.11.14;4836;107;136723
2020.11.15;4238;107;140961
2020.11.16;6495;93;147456
2020.11.17;5203;91;152659
2020.11.18;4290;99;156949
2020.11.19;4512;92;161461
2020.11.20;4440;96;165901
2020.11.21;4397;121;170298
2020.11.22;4320;111;174618
2020.11.23;3334;91;177952
2020.11.24;3929;117;181881
2020.11.25;3806;106;185687
2020.11.26;6360;115;192047
2020.11.27;6393;135;198440
2020.11.28;6268;152;204708
2020.11.29;6819;156;211527
2020.11.30;5595;151;217122
2020.12.01;3951;154;221073
2020.12.02;4136;165;225209
2020.12.03;6635;182;231844
2020.12.04;6212;189;238056
2020.12.05;5525;193;243581
2020.12.06;6697;162;250278
